acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Latitude,geo
16913,,Slight,2,1,10/01/2013,Thursday,10,January,13,17,0,S12000036,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,324420,670920,12227625,Segment,Cyclist,366860,unset,EH105JB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9254468338,-3.20966624994,"{lat: 55.9254468338, lon:-3.20966624994}"
17813,,Slight,4,1,11/01/2013,Friday,11,January,13,12,10,S12000036,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320410,671890,564472,Segment,M.V.N.P.,366861,unset,EH127DT,Control by school crossing patrol,Pedestrian phase at traffic signal junction,At scene,55.933514151,-3.27411529514,"{lat: 55.933514151, lon:-3.27411529514}"
18513,,Slight,1,1,11/01/2013,Friday,11,January,13,22,30,S12000036,Unclassified,,Single carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,321410,671750,522168,Junction,Pedestrian,366862,unset,EH113JT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Zebra crossing,At scene,55.9324209141,-3.25807041698,"{lat: 55.9324209141, lon:-3.25807041698}"
18613,,Serious,1,1,11/01/2013,Friday,11,January,13,23,42,S12000036,A,701,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327010,671330,529606,Junction,Pedestrian,366863,unset,EH165PE,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9295302679,-3.16833370366,"{lat: 55.9295302679, lon:-3.16833370366}"
18813,,Slight,2,2,12/01/2013,Saturday,12,January,13,19,50,S12000036,A,702,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324930,672740,533329,Junction,T.V.N.P.,366864,unset,EH39LH,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9418773378,-3.20201185224,"{lat: 55.9418773378, lon:-3.20201185224}"
21313,,Slight,1,1,13/01/2013,Sunday,13,January,13,12,18,S12000036,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328580,674980,557524,Segment,Pedestrian,366865,unset,EH76EW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9625577132,-3.14417532871,"{lat: 55.9625577132, lon:-3.14417532871}"
22413,,Serious,2,1,14/01/2013,Monday,14,January,13,16,40,S12000036,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325050,675240,519837,Junction,T.V.N.P.,366866,unset,EH35NS,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9643556692,-3.20078595137,"{lat: 55.9643556692, lon:-3.20078595137}"
22813,,Slight,2,1,15/01/2013,Tuesday,15,January,13,7,45,S12000036,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329090,673840,523542,Junction,Cyclist,366867,unset,EH87SA,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9523914656,-3.13570680571,"{lat: 55.9523914656, lon:-3.13570680571}"
23313,,Slight,5,1,14/01/2013,Monday,14,January,13,9,50,S12000036,A,8,Roundabout,70,Roundabout,Automatic Traffic Signal,A,8,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312560,672720,517579,Junction,M.V.N.P.,366868,unset,EH288SY,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.939606828,-3.40001053405,"{lat: 55.939606828, lon:-3.40001053405}"
23413,,Slight,2,1,15/01/2013,Tuesday,15,January,13,10,30,S12000036,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324590,676740,0,Unset,Cyclist,366869,unset,EH53JW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9777593521,-3.2085739131,"{lat: 55.9777593521, lon:-3.2085739131}"
23613,,Serious,1,4,13/01/2013,Sunday,13,January,13,1,54,S12000036,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324510,672040,522024,Junction,S.V.N.P.,366870,unset,EH104DG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9355228786,-3.20853932691,"{lat: 55.9355228786, lon:-3.20853932691}"
25113,,Slight,2,1,15/01/2013,Tuesday,15,January,13,15,35,S12000036,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Other,Dry,None,None,No overtaking,322660,671480,529573,Junction,T.V.N.P.,366871,unset,EH141PX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene,55.9301979671,-3.23798833331,"{lat: 55.9301979671, lon:-3.23798833331}"
25713,,Slight,2,1,16/01/2013,Wednesday,16,January,13,17,20,S12000036,A,700,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324980,672920,559610,Segment,Cyclist,366872,unset,EH39JH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9435022375,-3.20126151344,"{lat: 55.9435022375, lon:-3.20126151344}"
25813,,Slight,2,1,16/01/2013,Wednesday,16,January,13,17,30,S12000036,Motorway,8,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Fine with high winds,Dry,None,None,No overtaking,315060,671620,6452114,Segment,T.V.N.P.,366873,unset,EH288NW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9301733955,-3.35964946805,"{lat: 55.9301733955, lon:-3.35964946805}"
25913,,Slight,1,1,16/01/2013,Wednesday,16,January,13,21,5,S12000036,Unclassified,,One way Street,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Other,Dry,None,None,No overtaking,325550,674010,520554,Junction,Pedestrian,366874,unset,EH22DF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene,55.9533832859,-3.19243752234,"{lat: 55.9533832859, lon:-3.19243752234}"
26913,,Slight,4,3,17/01/2013,Thursday,17,January,13,7,30,S12000036,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,320440,668630,570540,Segment,M.V.N.P.,366875,unset,EH146BA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9042324286,-3.27267517086,"{lat: 55.9042324286, lon:-3.27267517086}"
27013,,Slight,1,1,17/01/2013,Thursday,17,January,13,14,29,S12000036,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325990,674260,12285707,Segment,Bus,366876,unset,EH13SJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9556972323,-3.18546054973,"{lat: 55.9556972323, lon:-3.18546054973}"
27413,,Slight,1,1,16/01/2013,Wednesday,16,January,13,17,30,S12000036,A,8,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322020,673140,550556,Segment,Bus,366877,unset,EH126HS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9450075667,-3.24870984403,"{lat: 55.9450075667, lon:-3.24870984403}"
27613,,Slight,3,1,17/01/2013,Thursday,17,January,13,7,0,S12000036,A,90,Dual carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,314380,677140,555681,Segment,M.V.N.P.,366878,unset,EH309TZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9796402868,-3.37228417624,"{lat: 55.9796402868, lon:-3.37228417624}"
27713,,Slight,2,1,17/01/2013,Thursday,17,January,13,14,25,S12000036,Unclassified,,Single carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326180,674490,520236,Junction,T.V.N.P.,366879,unset,EH75JH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene,55.9577927587,-3.18248093594,"{lat: 55.9577927587, lon:-3.18248093594}"
27813,,Slight,1,1,17/01/2013,Thursday,17,January,13,19,50,S12000036,A,701,Dual carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327460,667520,570784,Segment,Pedestrian,366880,unset,EH178BE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.895369197,-3.16010976325,"{lat: 55.895369197, lon:-3.16010976325}"
