acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Latitude,Longitude
708711,,Slight,3,1,03/11/2011,Thursday,3,November,11,16,45,230,A,199,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,900,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327300,676440,519265,Junction,M.V.N.P.,351469,unset,EH67BG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9754822305,-3.16507080699
709611,,Slight,2,1,04/11/2011,Friday,4,November,11,8,50,230,A,90,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321710,674810,555525,Segment,T.V.N.P.,351470,unset,EH42AG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9599598912,-3.25415756566
710311,,Slight,1,1,04/11/2011,Friday,4,November,11,17,10,230,A,7,Single carriageway - 2 lanes,30,Crossroads,Authorised Person,C,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325940,673640,521103,Junction,Pedestrian,351471,unset,EH11RU,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9501195161,-3.18609091194
710411,,Slight,2,1,03/11/2011,Thursday,3,November,11,17,20,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325580,674400,12222985,Junction,T.V.N.P.,351472,unset,EH13PP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9568916415,-3.19206481557
710511,,Slight,3,1,04/11/2011,Friday,4,November,11,14,0,230,A,90,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,318130,675070,519690,Junction,M.V.N.P.,351473,unset,EH48DZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9616988054,-3.31156942566
712711,,Slight,1,1,05/11/2011,Saturday,5,November,11,21,0,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325450,674240,566762,Segment,Pedestrian,351474,unset,EH21JE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9554340692,-3.19410240216
712811,,Slight,1,1,05/11/2011,Saturday,5,November,11,18,30,230,C,,One way Street,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325680,674050,520581,Junction,Pedestrian,351475,unset,EH22AU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.953762766,-3.19036689498
713011,,Slight,1,1,05/11/2011,Saturday,5,November,11,19,35,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,Road suface defective,None,No overtaking,324120,673270,521349,Junction,Bus,351476,unset,EH125ED,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9465115783,-3.2151273072
713111,,Slight,1,1,06/11/2011,Sunday,6,November,11,2,0,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325440,674060,566552,Segment,Pedestrian,351477,unset,EH22PF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9538154226,-3.19421274976
713611,,Slight,2,1,06/11/2011,Sunday,6,November,11,9,30,230,C,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,321000,670990,530917,Junction,T.V.N.P.,351478,unset,EH142AS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9255261498,-3.26440954181
