acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude,geojson
440310,,Serious,1,1,21/06/2010,Monday,21,June,10,11,15,230,A,8,Unknown,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,320650,672810,550716,Segment,S.V.N.P.,361209,unset,EH126TS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9418187534,-3.27054485029,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.27054485029, 55.9418187534}}"
441810,,Slight,1,1,22/06/2010,Tuesday,22,June,10,4,45,230,A,901,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326000,676940,558755,Segment,S.V.N.P.,361210,unset,EH64JG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9797755427,-3.18603674458,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18603674458, 55.9797755427}}"
442310,,Slight,2,1,22/06/2010,Tuesday,22,June,10,7,50,230,A,720,Dual carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,323840,667970,570534,Segment,T.V.N.P.,361211,unset,EH107DS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.8988530125,-3.21811562352,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.21811562352, 55.8988530125}}"
443210,,Slight,2,1,25/05/2010,Tuesday,25,May,10,11,55,230,B,701,Dual carriageway - 2 lanes,40,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319620,669920,12201408,Junction,T.V.N.P.,337508,unset,EH142RU,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9156850688,-3.2861721161,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.2861721161, 55.9156850688}}"
444310,,Slight,1,1,23/06/2010,Wednesday,23,June,10,0,20,230,A,90,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,8,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324790,673730,520932,Junction,Cyclist,361212,unset,EH24AX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9507494551,-3.20452903443,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.20452903443, 55.9507494551}}"
445110,,Slight,2,1,21/06/2010,Monday,21,June,10,20,25,230,A,71,Single carriageway - 2 lanes,50,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,314560,669180,517744,Junction,T.V.N.P.,361213,unset,EH278EB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.90816556,-3.36687885914,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.36687885914, 55.90816556}}"
445210,,Serious,1,1,18/06/2010,Friday,18,June,10,13,0,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326200,672500,532732,Junction,Pedestrian,361214,unset,EH91ND,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.939917852,-3.18161601938,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18161601938, 55.939917852}}"
446110,,Slight,2,1,23/06/2010,Wednesday,23,June,10,8,45,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325990,672080,566264,Segment,T.V.N.P.,361215,unset,EH91UF,Control by school crossing patrol,Pedestrian phase at traffic signal junction,At scene,55.9361123237,-3.18486234013,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18486234013, 55.9361123237}}"
446610,,Serious,3,1,23/06/2010,Wednesday,23,June,10,8,10,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328210,670660,530083,Junction,M.V.N.P.,361216,unset,EH165RH,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9236915847,-3.1489518451,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.1489518451, 55.9236915847}}"
447110,,Slight,2,1,23/06/2010,Wednesday,23,June,10,9,20,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,702,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324500,671930,522291,Junction,T.V.N.P.,361217,unset,EH104DH,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9345330859,-3.20866860817,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.20866860817, 55.9345330859}}"
